!    time (d)     u          v      prev (=I0/S0)
    0.0000    9.990000    0.010000    0.001000
    0.0100    9.989900    0.010090    0.001009
    0.0200    9.989798    0.010181    0.001018
    0.0300    9.989696    0.010273    0.001027
    0.0400    9.989593    0.010366    0.001037
    0.0500    9.989489    0.010460    0.001046
    0.0600    9.989384    0.010554    0.001055
    0.0700    9.989278    0.010649    0.001065
    0.0800    9.989171    0.010746    0.001075
    0.0900    9.989064    0.010843    0.001084
    0.1000    9.988955    0.010941    0.001094
    0.1100    9.988845    0.011039    0.001104
    0.1200    9.988734    0.011139    0.001114
    0.1300    9.988622    0.011240    0.001124
    0.1400    9.988510    0.011341    0.001134
    0.1500    9.988396    0.011444    0.001144
    0.1600    9.988281    0.011547    0.001155
    0.1700    9.988165    0.011651    0.001165
    0.1800    9.988048    0.011756    0.001176
    0.1900    9.987930    0.011862    0.001186
    0.2000    9.987811    0.011970    0.001197
    0.2100    9.987691    0.012078    0.001208
    0.2200    9.987570    0.012187    0.001219
    0.2300    9.987448    0.012297    0.001230
    0.2400    9.987324    0.012408    0.001241
    0.2500    9.987200    0.012520    0.001252
    0.2600    9.987074    0.012633    0.001263
    0.2700    9.986948    0.012747    0.001275
    0.2800    9.986820    0.012862    0.001286
    0.2900    9.986691    0.012978    0.001298
    0.3000    9.986561    0.013095    0.001310
    0.3100    9.986429    0.013213    0.001321
    0.3200    9.986297    0.013333    0.001333
    0.3300    9.986163    0.013453    0.001345
    0.3400    9.986028    0.013574    0.001357
    0.3500    9.985892    0.013697    0.001370
    0.3600    9.985754    0.013820    0.001382
    0.3700    9.985616    0.013945    0.001395
    0.3800    9.985476    0.014071    0.001407
    0.3900    9.985335    0.014198    0.001420
    0.4000    9.985192    0.014326    0.001433
    0.4100    9.985049    0.014456    0.001446
    0.4200    9.984904    0.014586    0.001459
    0.4300    9.984757    0.014718    0.001472
    0.4400    9.984610    0.014851    0.001485
    0.4500    9.984461    0.014985    0.001498
    0.4600    9.984311    0.015120    0.001512
    0.4700    9.984159    0.015256    0.001526
    0.4800    9.984006    0.015394    0.001539
    0.4900    9.983852    0.015533    0.001553
    0.5000    9.983696    0.015673    0.001567
    0.5100    9.983539    0.015814    0.001581
    0.5200    9.983380    0.015957    0.001596
    0.5300    9.983220    0.016101    0.001610
    0.5400    9.983058    0.016246    0.001625
    0.5500    9.982896    0.016393    0.001639
    0.5600    9.982731    0.016541    0.001654
    0.5700    9.982565    0.016690    0.001669
    0.5800    9.982398    0.016841    0.001684
    0.5900    9.982229    0.016993    0.001699
    0.6000    9.982059    0.017146    0.001715
    0.6100    9.981887    0.017301    0.001730
    0.6200    9.981713    0.017457    0.001746
    0.6300    9.981538    0.017614    0.001761
    0.6400    9.981362    0.017773    0.001777
    0.6500    9.981183    0.017934    0.001793
    0.6600    9.981004    0.018095    0.001810
    0.6700    9.980822    0.018259    0.001826
    0.6800    9.980639    0.018423    0.001842
    0.6900    9.980454    0.018590    0.001859
    0.7000    9.980268    0.018757    0.001876
    0.7100    9.980080    0.018926    0.001893
    0.7200    9.979890    0.019097    0.001910
    0.7300    9.979699    0.019269    0.001927
    0.7400    9.979506    0.019443    0.001944
    0.7500    9.979311    0.019619    0.001962
    0.7600    9.979114    0.019796    0.001980
    0.7700    9.978916    0.019974    0.001997
    0.7800    9.978716    0.020154    0.002015
    0.7900    9.978514    0.020336    0.002034
    0.8000    9.978310    0.020519    0.002052
    0.8100    9.978104    0.020705    0.002070
    0.8200    9.977896    0.020891    0.002089
    0.8300    9.977687    0.021080    0.002108
    0.8400    9.977476    0.021270    0.002127
    0.8500    9.977263    0.021462    0.002146
    0.8600    9.977048    0.021655    0.002166
    0.8700    9.976831    0.021850    0.002185
    0.8800    9.976612    0.022047    0.002205
    0.8900    9.976391    0.022246    0.002225
    0.9000    9.976168    0.022447    0.002245
    0.9100    9.975943    0.022649    0.002265
    0.9200    9.975716    0.022853    0.002285
    0.9300    9.975487    0.023059    0.002306
    0.9400    9.975256    0.023267    0.002327
    0.9500    9.975023    0.023477    0.002348
    0.9600    9.974787    0.023689    0.002369
    0.9700    9.974550    0.023902    0.002390
    0.9800    9.974311    0.024118    0.002412
    0.9900    9.974069    0.024335    0.002434
    1.0000    9.973825    0.024555    0.002455
    1.0100    9.973579    0.024776    0.002478
    1.0200    9.973331    0.024999    0.002500
    1.0300    9.973080    0.025225    0.002522
    1.0400    9.972828    0.025452    0.002545
    1.0500    9.972573    0.025681    0.002568
    1.0600    9.972315    0.025913    0.002591
    1.0700    9.972056    0.026146    0.002615
    1.0800    9.971794    0.026382    0.002638
    1.0900    9.971530    0.026620    0.002662
    1.1000    9.971263    0.026860    0.002686
    1.1100    9.970994    0.027102    0.002710
    1.1200    9.970723    0.027346    0.002735
    1.1300    9.970449    0.027592    0.002759
    1.1400    9.970172    0.027841    0.002784
    1.1500    9.969894    0.028092    0.002809
    1.1600    9.969612    0.028345    0.002834
    1.1700    9.969328    0.028600    0.002860
    1.1800    9.969042    0.028858    0.002886
    1.1900    9.968753    0.029118    0.002912
    1.2000    9.968461    0.029380    0.002938
    1.2100    9.968167    0.029645    0.002964
    1.2200    9.967870    0.029912    0.002991
    1.2300    9.967571    0.030181    0.003018
    1.2400    9.967269    0.030453    0.003045
    1.2500    9.966964    0.030728    0.003073
    1.2600    9.966656    0.031004    0.003100
    1.2700    9.966346    0.031284    0.003128
    1.2800    9.966033    0.031565    0.003157
    1.2900    9.965717    0.031850    0.003185
    1.3000    9.965398    0.032136    0.003214
    1.3100    9.965076    0.032426    0.003243
    1.3200    9.964752    0.032718    0.003272
    1.3300    9.964424    0.033012    0.003301
    1.3400    9.964094    0.033310    0.003331
    1.3500    9.963760    0.033610    0.003361
    1.3600    9.963424    0.033912    0.003391
    1.3700    9.963085    0.034218    0.003422
    1.3800    9.962742    0.034526    0.003453
    1.3900    9.962397    0.034836    0.003484
    1.4000    9.962048    0.035150    0.003515
    1.4100    9.961696    0.035467    0.003547
    1.4200    9.961341    0.035786    0.003579
    1.4300    9.960983    0.036108    0.003611
    1.4400    9.960622    0.036433    0.003643
    1.4500    9.960258    0.036761    0.003676
    1.4600    9.959890    0.037092    0.003709
    1.4700    9.959519    0.037426    0.003743
    1.4800    9.959144    0.037762    0.003776
    1.4900    9.958766    0.038102    0.003810
    1.5000    9.958385    0.038445    0.003845
    1.5100    9.958001    0.038791    0.003879
    1.5200    9.957613    0.039140    0.003914
    1.5300    9.957221    0.039492    0.003949
    1.5400    9.956826    0.039848    0.003985
    1.5500    9.956428    0.040206    0.004021
    1.5600    9.956026    0.040568    0.004057
    1.5700    9.955620    0.040933    0.004093
    1.5800    9.955211    0.041301    0.004130
    1.5900    9.954798    0.041672    0.004167
    1.6000    9.954381    0.042047    0.004205
    1.6100    9.953960    0.042425    0.004243
    1.6200    9.953536    0.042807    0.004281
    1.6300    9.953108    0.043192    0.004319
    1.6400    9.952677    0.043580    0.004358
    1.6500    9.952241    0.043972    0.004397
    1.6600    9.951801    0.044368    0.004437
    1.6700    9.951358    0.044767    0.004477
    1.6800    9.950910    0.045169    0.004517
    1.6900    9.950459    0.045575    0.004558
    1.7000    9.950003    0.045985    0.004599
    1.7100    9.949544    0.046398    0.004640
    1.7200    9.949080    0.046816    0.004682
    1.7300    9.948612    0.047236    0.004724
    1.7400    9.948140    0.047661    0.004766
    1.7500    9.947664    0.048089    0.004809
    1.7600    9.947183    0.048522    0.004852
    1.7700    9.946699    0.048958    0.004896
    1.7800    9.946209    0.049398    0.004940
    1.7900    9.945716    0.049841    0.004984
    1.8000    9.945218    0.050289    0.005029
    1.8100    9.944716    0.050741    0.005074
    1.8200    9.944209    0.051197    0.005120
    1.8300    9.943697    0.051657    0.005166
    1.8400    9.943181    0.052121    0.005212
    1.8500    9.942661    0.052589    0.005259
    1.8600    9.942136    0.053062    0.005306
    1.8700    9.941606    0.053538    0.005354
    1.8800    9.941071    0.054019    0.005402
    1.8900    9.940532    0.054504    0.005450
    1.9000    9.939987    0.054994    0.005499
    1.9100    9.939438    0.055488    0.005549
    1.9200    9.938884    0.055986    0.005599
    1.9300    9.938325    0.056488    0.005649
    1.9400    9.937762    0.056996    0.005700
    1.9500    9.937193    0.057507    0.005751
    1.9600    9.936619    0.058024    0.005802
    1.9700    9.936040    0.058544    0.005854
    1.9800    9.935455    0.059070    0.005907
    1.9900    9.934866    0.059600    0.005960
    2.0000    9.934271    0.060135    0.006013
    2.0100    9.933671    0.060675    0.006067
    2.0200    9.933066    0.061219    0.006122
    2.0300    9.932455    0.061768    0.006177
    2.0400    9.931839    0.062323    0.006232
    2.0500    9.931217    0.062882    0.006288
    2.0600    9.930590    0.063446    0.006345
    2.0700    9.929957    0.064015    0.006401
    2.0800    9.929318    0.064589    0.006459
    2.0900    9.928674    0.065168    0.006517
    2.1000    9.928024    0.065753    0.006575
    2.1100    9.927368    0.066342    0.006634
    2.1200    9.926707    0.066937    0.006694
    2.1300    9.926039    0.067538    0.006754
    2.1400    9.925366    0.068143    0.006814
    2.1500    9.924687    0.068754    0.006875
    2.1600    9.924001    0.069370    0.006937
    2.1700    9.923310    0.069992    0.006999
    2.1800    9.922612    0.070619    0.007062
    2.1900    9.921908    0.071252    0.007125
    2.2000    9.921198    0.071891    0.007189
    2.2100    9.920482    0.072535    0.007254
    2.2200    9.919759    0.073185    0.007318
    2.2300    9.919030    0.073841    0.007384
    2.2400    9.918294    0.074502    0.007450
    2.2500    9.917552    0.075170    0.007517
    2.2600    9.916803    0.075843    0.007584
    2.2700    9.916048    0.076522    0.007652
    2.2800    9.915286    0.077207    0.007721
    2.2900    9.914517    0.077899    0.007790
    2.3000    9.913741    0.078596    0.007860
    2.3100    9.912958    0.079300    0.007930
    2.3200    9.912169    0.080010    0.008001
    2.3300    9.911372    0.080726    0.008073
    2.3400    9.910568    0.081449    0.008145
    2.3500    9.909758    0.082178    0.008218
    2.3600    9.908940    0.082913    0.008291
    2.3700    9.908114    0.083655    0.008365
    2.3800    9.907282    0.084403    0.008440
    2.3900    9.906442    0.085159    0.008516
    2.4000    9.905595    0.085920    0.008592
    2.4100    9.904740    0.086689    0.008669
    2.4200    9.903877    0.087464    0.008746
    2.4300    9.903007    0.088247    0.008825
    2.4400    9.902130    0.089036    0.008904
    2.4500    9.901244    0.089832    0.008983
    2.4600    9.900351    0.090635    0.009063
    2.4700    9.899449    0.091445    0.009145
    2.4800    9.898540    0.092263    0.009226
    2.4900    9.897623    0.093087    0.009309
    2.5000    9.896697    0.093919    0.009392
    2.5100    9.895764    0.094758    0.009476
    2.5200    9.894822    0.095605    0.009561
    2.5300    9.893872    0.096459    0.009646
    2.5400    9.892913    0.097321    0.009732
    2.5500    9.891946    0.098190    0.009819
    2.5600    9.890971    0.099067    0.009907
    2.5700    9.889986    0.099952    0.009995
    2.5800    9.888994    0.100844    0.010084
    2.5900    9.887992    0.101745    0.010174
    2.6000    9.886981    0.102653    0.010265
    2.6100    9.885962    0.103569    0.010357
    2.6200    9.884934    0.104493    0.010449
    2.6300    9.883896    0.105426    0.010543
    2.6400    9.882850    0.106367    0.010637
    2.6500    9.881794    0.107316    0.010732
    2.6600    9.880729    0.108273    0.010827
    2.6700    9.879654    0.109239    0.010924
    2.6800    9.878570    0.110213    0.011021
    2.6900    9.877477    0.111196    0.011120
    2.7000    9.876373    0.112187    0.011219
    2.7100    9.875261    0.113188    0.011319
    2.7200    9.874138    0.114197    0.011420
    2.7300    9.873005    0.115214    0.011521
    2.7400    9.871863    0.116241    0.011624
    2.7500    9.870710    0.117277    0.011728
    2.7600    9.869548    0.118322    0.011832
    2.7700    9.868375    0.119376    0.011938
    2.7800    9.867191    0.120439    0.012044
    2.7900    9.865998    0.121512    0.012151
    2.8000    9.864794    0.122594    0.012259
    2.8100    9.863579    0.123685    0.012369
    2.8200    9.862354    0.124786    0.012479
    2.8300    9.861118    0.125897    0.012590
    2.8400    9.859871    0.127018    0.012702
    2.8500    9.858613    0.128148    0.012815
    2.8600    9.857344    0.129288    0.012929
    2.8700    9.856064    0.130438    0.013044
    2.8800    9.854773    0.131599    0.013160
    2.8900    9.853470    0.132769    0.013277
    2.9000    9.852156    0.133949    0.013395
    2.9100    9.850831    0.135140    0.013514
    2.9200    9.849494    0.136342    0.013634
    2.9300    9.848145    0.137554    0.013755
    2.9400    9.846784    0.138776    0.013878
    2.9500    9.845412    0.140009    0.014001
    2.9600    9.844027    0.141253    0.014125
    2.9700    9.842631    0.142508    0.014251
    2.9800    9.841222    0.143773    0.014377
    2.9900    9.839801    0.145050    0.014505
    3.0000    9.838368    0.146338    0.014634
    3.0100    9.836922    0.147637    0.014764
    3.0200    9.835463    0.148947    0.014895
    3.0300    9.833992    0.150269    0.015027
    3.0400    9.832507    0.151602    0.015160
    3.0500    9.831010    0.152947    0.015295
    3.0600    9.829500    0.154303    0.015430
    3.0700    9.827977    0.155672    0.015567
    3.0800    9.826440    0.157052    0.015705
    3.0900    9.824890    0.158444    0.015844
    3.1000    9.823327    0.159848    0.015985
    3.1100    9.821750    0.161265    0.016126
    3.1200    9.820159    0.162694    0.016269
    3.1300    9.818554    0.164135    0.016413
    3.1400    9.816936    0.165589    0.016559
    3.1500    9.815303    0.167055    0.016705
    3.1600    9.813656    0.168534    0.016853
    3.1700    9.811995    0.170026    0.017003
    3.1800    9.810320    0.171530    0.017153
    3.1900    9.808630    0.173048    0.017305
    3.2000    9.806925    0.174579    0.017458
    3.2100    9.805206    0.176123    0.017612
    3.2200    9.803471    0.177681    0.017768
    3.2300    9.801722    0.179252    0.017925
    3.2400    9.799957    0.180836    0.018084
    3.2500    9.798177    0.182435    0.018243
    3.2600    9.796382    0.184047    0.018405
    3.2700    9.794571    0.185672    0.018567
    3.2800    9.792745    0.187312    0.018731
    3.2900    9.790903    0.188966    0.018897
    3.3000    9.789044    0.190635    0.019063
    3.3100    9.787170    0.192317    0.019232
    3.3200    9.785280    0.194015    0.019401
    3.3300    9.783373    0.195726    0.019573
    3.3400    9.781450    0.197453    0.019745
    3.3500    9.779510    0.199194    0.019919
    3.3600    9.777554    0.200951    0.020095
    3.3700    9.775581    0.202722    0.020272
    3.3800    9.773591    0.204509    0.020451
    3.3900    9.771583    0.206311    0.020631
    3.4000    9.769559    0.208128    0.020813
    3.4100    9.767517    0.209961    0.020996
    3.4200    9.765457    0.211810    0.021181
    3.4300    9.763380    0.213674    0.021367
    3.4400    9.761285    0.215555    0.021555
    3.4500    9.759171    0.217452    0.021745
    3.4600    9.757040    0.219364    0.021936
    3.4700    9.754891    0.221294    0.022129
    3.4800    9.752723    0.223239    0.022324
    3.4900    9.750536    0.225201    0.022520
    3.5000    9.748331    0.227180    0.022718
    3.5100    9.746107    0.229176    0.022918
    3.5200    9.743864    0.231189    0.023119
    3.5300    9.741602    0.233219    0.023322
    3.5400    9.739320    0.235267    0.023527
    3.5500    9.737019    0.237332    0.023733
    3.5600    9.734698    0.239414    0.023941
    3.5700    9.732357    0.241514    0.024151
    3.5800    9.729997    0.243632    0.024363
    3.5900    9.727616    0.245768    0.024577
    3.6000    9.725215    0.247922    0.024792
    3.6100    9.722794    0.250094    0.025009
    3.6200    9.720352    0.252285    0.025229
    3.6300    9.717889    0.254494    0.025449
    3.6400    9.715406    0.256722    0.025672
    3.6500    9.712901    0.258969    0.025897
    3.6600    9.710375    0.261235    0.026124
    3.6700    9.707828    0.263520    0.026352
    3.6800    9.705259    0.265825    0.026582
    3.6900    9.702668    0.268149    0.026815
    3.7000    9.700055    0.270492    0.027049
    3.7100    9.697420    0.272855    0.027286
    3.7200    9.694763    0.275238    0.027524
    3.7300    9.692083    0.277641    0.027764
    3.7400    9.689381    0.280065    0.028006
    3.7500    9.686656    0.282509    0.028251
    3.7600    9.683908    0.284973    0.028497
    3.7700    9.681137    0.287458    0.028746
    3.7800    9.678342    0.289964    0.028996
    3.7900    9.675524    0.292491    0.029249
    3.8000    9.672682    0.295039    0.029504
    3.8100    9.669816    0.297609    0.029761
    3.8200    9.666926    0.300200    0.030020
    3.8300    9.664012    0.302812    0.030281
    3.8400    9.661073    0.305447    0.030545
    3.8500    9.658110    0.308103    0.030810
    3.8600    9.655122    0.310782    0.031078
    3.8700    9.652109    0.313483    0.031348
    3.8800    9.649070    0.316207    0.031621
    3.8900    9.646006    0.318953    0.031895
    3.9000    9.642917    0.321722    0.032172
    3.9100    9.639802    0.324514    0.032451
    3.9200    9.636660    0.327330    0.032733
    3.9300    9.633493    0.330168    0.033017
    3.9400    9.630299    0.333031    0.033303
    3.9500    9.627079    0.335917    0.033592
    3.9600    9.623831    0.338827    0.033883
    3.9700    9.620557    0.341761    0.034176
    3.9800    9.617255    0.344719    0.034472
    3.9900    9.613926    0.347702    0.034770
    4.0000    9.610570    0.350709    0.035071
    4.0100    9.607185    0.353742    0.035374
    4.0200    9.603773    0.356799    0.035680
    4.0300    9.600332    0.359881    0.035988
    4.0400    9.596863    0.362989    0.036299
    4.0500    9.593365    0.366122    0.036612
    4.0600    9.589838    0.369282    0.036928
    4.0700    9.586282    0.372467    0.037247
    4.0800    9.582697    0.375678    0.037568
    4.0900    9.579082    0.378915    0.037892
    4.1000    9.575437    0.382179    0.038218
    4.1100    9.571763    0.385470    0.038547
    4.1200    9.568058    0.388788    0.038879
    4.1300    9.564323    0.392132    0.039213
    4.1400    9.560557    0.395505    0.039550
    4.1500    9.556760    0.398904    0.039890
    4.1600    9.552932    0.402331    0.040233
    4.1700    9.549073    0.405786    0.040579
    4.1800    9.545182    0.409270    0.040927
    4.1900    9.541260    0.412781    0.041278
    4.2000    9.537306    0.416321    0.041632
    4.2100    9.533319    0.419890    0.041989
    4.2200    9.529300    0.423487    0.042349
    4.2300    9.525248    0.427114    0.042711
    4.2400    9.521163    0.430770    0.043077
    4.2500    9.517045    0.434455    0.043446
    4.2600    9.512893    0.438170    0.043817
    4.2700    9.508708    0.441915    0.044192
    4.2800    9.504489    0.445691    0.044569
    4.2900    9.500236    0.449496    0.044950
    4.3000    9.495948    0.453332    0.045333
    4.3100    9.491626    0.457199    0.045720
    4.3200    9.487269    0.461097    0.046110
    4.3300    9.482877    0.465026    0.046503
    4.3400    9.478449    0.468987    0.046899
    4.3500    9.473986    0.472979    0.047298
    4.3600    9.469487    0.477003    0.047700
    4.3700    9.464952    0.481059    0.048106
    4.3800    9.460381    0.485147    0.048515
    4.3900    9.455773    0.489268    0.048927
    4.4000    9.451128    0.493422    0.049342
    4.4100    9.446446    0.497608    0.049761
    4.4200    9.441727    0.501828    0.050183
    4.4300    9.436970    0.506081    0.050608
    4.4400    9.432175    0.510367    0.051037
    4.4500    9.427342    0.514688    0.051469
    4.4600    9.422470    0.519042    0.051904
    4.4700    9.417560    0.523431    0.052343
    4.4800    9.412611    0.527854    0.052785
    4.4900    9.407623    0.532312    0.053231
    4.5000    9.402596    0.536805    0.053681
    4.5100    9.397529    0.541334    0.054133
    4.5200    9.392421    0.545897    0.054590
    4.5300    9.387274    0.550496    0.055050
    4.5400    9.382086    0.555132    0.055513
    4.5500    9.376857    0.559803    0.055980
    4.5600    9.371587    0.564510    0.056451
    4.5700    9.366276    0.569255    0.056925
    4.5800    9.360924    0.574036    0.057404
    4.5900    9.355529    0.578854    0.057885
    4.6000    9.350093    0.583709    0.058371
    4.6100    9.344614    0.588602    0.058860
    4.6200    9.339092    0.593532    0.059353
    4.6300    9.333528    0.598501    0.059850
    4.6400    9.327920    0.603508    0.060351
    4.6500    9.322269    0.608553    0.060855
    4.6600    9.316573    0.613637    0.061364
    4.6700    9.310834    0.618760    0.061876
    4.6800    9.305051    0.623922    0.062392
    4.6900    9.299223    0.629123    0.062912
    4.7000    9.293350    0.634364    0.063436
    4.7100    9.287432    0.639645    0.063965
    4.7200    9.281469    0.644966    0.064497
    4.7300    9.275460    0.650328    0.065033
    4.7400    9.269405    0.655730    0.065573
    4.7500    9.263303    0.661173    0.066117
    4.7600    9.257155    0.666657    0.066666
    4.7700    9.250960    0.672182    0.067218
    4.7800    9.244718    0.677749    0.067775
    4.7900    9.238429    0.683358    0.068336
    4.8000    9.232092    0.689009    0.068901
    4.8100    9.225707    0.694702    0.069470
    4.8200    9.219274    0.700438    0.070044
    4.8300    9.212792    0.706217    0.070622
    4.8400    9.206261    0.712038    0.071204
    4.8500    9.199681    0.717903    0.071790
    4.8600    9.193052    0.723811    0.072381
    4.8700    9.186373    0.729763    0.072976
    4.8800    9.179644    0.735760    0.073576
    4.8900    9.172865    0.741800    0.074180
    4.9000    9.166035    0.747885    0.074788
    4.9100    9.159155    0.754015    0.075401
    4.9200    9.152223    0.760189    0.076019
    4.9300    9.145240    0.766409    0.076641
    4.9400    9.138205    0.772675    0.077267
    4.9500    9.131118    0.778986    0.077899
    4.9600    9.123979    0.785343    0.078534
    4.9700    9.116787    0.791746    0.079175
    4.9800    9.109542    0.798196    0.079820
    4.9900    9.102244    0.804692    0.080469
    5.0000    9.094893    0.811235    0.081124
    5.0100    9.087488    0.817826    0.081783
    5.0200    9.080029    0.824464    0.082446
    5.0300    9.072516    0.831149    0.083115
    5.0400    9.064948    0.837883    0.083788
    5.0500    9.057325    0.844664    0.084466
    5.0600    9.049647    0.851494    0.085149
    5.0700    9.041913    0.858373    0.085837
    5.0800    9.034124    0.865300    0.086530
    5.0900    9.026279    0.872277    0.087228
    5.1000    9.018377    0.879303    0.087930
    5.1100    9.010419    0.886378    0.088638
    5.1200    9.002404    0.893503    0.089350
    5.1300    8.994331    0.900678    0.090068
    5.1400    8.986202    0.907904    0.090790
    5.1500    8.978014    0.915180    0.091518
    5.1600    8.969769    0.922507    0.092251
    5.1700    8.961465    0.929884    0.092988
    5.1800    8.953102    0.937313    0.093731
    5.1900    8.944681    0.944794    0.094479
    5.2000    8.936200    0.952325    0.095233
    5.2100    8.927660    0.959909    0.095991
    5.2200    8.919061    0.967545    0.096755
    5.2300    8.910401    0.975233    0.097523
    5.2400    8.901681    0.982974    0.098297
    5.2500    8.892901    0.990768    0.099077
    5.2600    8.884060    0.998614    0.099861
    5.2700    8.875157    1.006514    0.100651
    5.2800    8.866194    1.014467    0.101447
    5.2900    8.857168    1.022474    0.102247
    5.3000    8.848081    1.030535    0.103053
    5.3100    8.838932    1.038650    0.103865
    5.3200    8.829720    1.046819    0.104682
    5.3300    8.820445    1.055042    0.105504
    5.3400    8.811108    1.063321    0.106332
    5.3500    8.801707    1.071654    0.107165
    5.3600    8.792243    1.080042    0.108004
    5.3700    8.782715    1.088486    0.108849
    5.3800    8.773123    1.096985    0.109699
    5.3900    8.763467    1.105540    0.110554
    5.4000    8.753746    1.114151    0.111415
    5.4100    8.743961    1.122818    0.112282
    5.4200    8.734111    1.131541    0.113154
    5.4300    8.724195    1.140321    0.114032
    5.4400    8.714214    1.149157    0.114916
    5.4500    8.704167    1.158050    0.115805
    5.4600    8.694054    1.167001    0.116700
    5.4700    8.683875    1.176008    0.117601
    5.4800    8.673629    1.185073    0.118507
    5.4900    8.663317    1.194196    0.119420
    5.5000    8.652938    1.203377    0.120338
    5.5100    8.642491    1.212615    0.121261
    5.5200    8.631978    1.221911    0.122191
    5.5300    8.621396    1.231266    0.123127
    5.5400    8.610747    1.240679    0.124068
    5.5500    8.600030    1.250151    0.125015
    5.5600    8.589244    1.259682    0.125968
    5.5700    8.578390    1.269271    0.126927
    5.5800    8.567468    1.278920    0.127892
    5.5900    8.556476    1.288628    0.128863
    5.6000    8.545415    1.298395    0.129839
    5.6100    8.534285    1.308222    0.130822
    5.6200    8.523086    1.318108    0.131811
    5.6300    8.511817    1.328054    0.132805
    5.6400    8.500477    1.338060    0.133806
    5.6500    8.489068    1.348126    0.134813
    5.6600    8.477589    1.358253    0.135825
    5.6700    8.466039    1.368439    0.136844
    5.6800    8.454418    1.378686    0.137869
    5.6900    8.442727    1.388994    0.138899
    5.7000    8.430964    1.399362    0.139936
    5.7100    8.419131    1.409791    0.140979
    5.7200    8.407226    1.420281    0.142028
    5.7300    8.395249    1.430832    0.143083
    5.7400    8.383201    1.441444    0.144144
    5.7500    8.371082    1.452117    0.145212
    5.7600    8.358890    1.462851    0.146285
    5.7700    8.346626    1.473647    0.147365
    5.7800    8.334290    1.484504    0.148450
    5.7900    8.321881    1.495423    0.149542
    5.8000    8.309400    1.506403    0.150640
    5.8100    8.296847    1.517444    0.151744
    5.8200    8.284220    1.528548    0.152855
    5.8300    8.271521    1.539713    0.153971
    5.8400    8.258749    1.550940    0.155094
    5.8500    8.245903    1.562229    0.156223
    5.8600    8.232985    1.573579    0.157358
    5.8700    8.219993    1.584992    0.158499
    5.8800    8.206927    1.596467    0.159647
    5.8900    8.193788    1.608003    0.160800
    5.9000    8.180576    1.619602    0.161960
    5.9100    8.167290    1.631263    0.163126
    5.9200    8.153930    1.642985    0.164299
    5.9300    8.140496    1.654770    0.165477
    5.9400    8.126989    1.666617    0.166662
    5.9500    8.113407    1.678526    0.167853
    5.9600    8.099752    1.690497    0.169050
    5.9700    8.086022    1.702530    0.170253
    5.9800    8.072218    1.714626    0.171463
    5.9900    8.058340    1.726783    0.172678
    6.0000    8.044388    1.739002    0.173900
    6.0100    8.030362    1.751283    0.175128
    6.0200    8.016261    1.763626    0.176363
    6.0300    8.002086    1.776031    0.177603
    6.0400    7.987837    1.788498    0.178850
    6.0500    7.973514    1.801027    0.180103
    6.0600    7.959116    1.813617    0.181362
    6.0700    7.944644    1.826269    0.182627
    6.0800    7.930098    1.838983    0.183898
    6.0900    7.915478    1.851758    0.185176
    6.1000    7.900783    1.864594    0.186459
    6.1100    7.886014    1.877492    0.187749
    6.1200    7.871171    1.890451    0.189045
    6.1300    7.856254    1.903471    0.190347
    6.1400    7.841263    1.916552    0.191655
    6.1500    7.826198    1.929694    0.192969
    6.1600    7.811059    1.942897    0.194290
    6.1700    7.795846    1.956161    0.195616
    6.1800    7.780559    1.969485    0.196948
    6.1900    7.765198    1.982869    0.198287
    6.2000    7.749764    1.996314    0.199631
    6.2100    7.734256    2.009818    0.200982
    6.2200    7.718675    2.023383    0.202338
    6.2300    7.703021    2.037007    0.203701
    6.2400    7.687293    2.050691    0.205069
    6.2500    7.671492    2.064434    0.206443
    6.2600    7.655619    2.078237    0.207824
    6.2700    7.639672    2.092098    0.209210
    6.2800    7.623653    2.106018    0.210602
    6.2900    7.607561    2.119997    0.212000
    6.3000    7.591397    2.134034    0.213403
    6.3100    7.575160    2.148130    0.214813
    6.3200    7.558852    2.162283    0.216228
    6.3300    7.542472    2.176494    0.217649
    6.3400    7.526020    2.190762    0.219076
    6.3500    7.509496    2.205088    0.220509
    6.3600    7.492902    2.219470    0.221947
    6.3700    7.476236    2.233909    0.223391
    6.3800    7.459499    2.248405    0.224840
    6.3900    7.442692    2.262956    0.226296
    6.4000    7.425814    2.277563    0.227756
    6.4100    7.408866    2.292226    0.229223
    6.4200    7.391849    2.306945    0.230694
    6.4300    7.374761    2.321718    0.232172
    6.4400    7.357605    2.336545    0.233655
    6.4500    7.340379    2.351427    0.235143
    6.4600    7.323084    2.366363    0.236636
    6.4700    7.305721    2.381352    0.238135
    6.4800    7.288289    2.396395    0.239640
    6.4900    7.270790    2.411491    0.241149
    6.5000    7.253222    2.426639    0.242664
    6.5100    7.235588    2.441839    0.244184
    6.5200    7.217886    2.457091    0.245709
    6.5300    7.200118    2.472395    0.247239
    6.5400    7.182283    2.487750    0.248775
    6.5500    7.164383    2.503155    0.250315
    6.5600    7.146416    2.518610    0.251861
    6.5700    7.128385    2.534115    0.253412
    6.5800    7.110288    2.549670    0.254967
    6.5900    7.092127    2.565274    0.256527
    6.6000    7.073902    2.580926    0.258093
    6.6100    7.055613    2.596626    0.259663
    6.6200    7.037260    2.612374    0.261237
    6.6300    7.018845    2.628169    0.262817
    6.6400    7.000367    2.644011    0.264401
